Movie Name,Director(s),Principal Cast(s),Cast(s)
The Searchers,John Ford,"Harry Carey Jr., Henry Brandon, Jeffrey Hunter, John Qualen, John Wayne, Ken Curtis, Natalie Wood, Olive Carey, Vera Miles, Ward Bond","Antonio Moreno, Beulah Archuletta, Dorothy Jordan, Hank Worden, Walter Coy"
45 Years,Andrew Haigh,"Charlotte Rampling, Tom Courtenay","Camille Ucan, Charles Booth, Charlotte Rampling, David Sibley, Dolly Wells, Geraldine James, Hannah Chalmers, Kevin Matadeen, Lucy Temple, Martin Atkinson, Max Rudd, Michelle Finch, Paul Goldsmith, Peter Dean Jackson, Rachel Banham, Richard Cunningham, Rufus Wright, Sam Alexander, Tom Courtenay"
Taxi Driver,Martin Scorsese,"Albert Brooks, Cybill Shepherd, Diahnne Abbott, Frank Adu, Garth Avery, Gino Ardito, Jodie Foster, Peter Boyle, Robert De Niro, Victor Argo","Albert Brooks, Brenda Dickson, Copper Cunningham, Diahnne Abbott, Frank Adu, Garth Avery, Gino Ardito, Harry Cohn, Harry Fischler, Harvey Keitel, Leonard Harris, Nat Grant, Peter Boyle, Victor Argo"
Pulp Fiction,Quentin Tarantino,"Bruce Willis, John Travolta, Samuel L. Jackson","Amanda Plummer, Duane Whitaker, Eric Stoltz, Frank Whaley, Maria de Medeiros, Paul Calderon, Peter Greene, Phil LaMarr, Rosanna Arquette, Tim Roth, Uma Thurman, Ving Rhames"
The Manchurian Candidate,John Frankenheimer,"Frank Sinatra, Laurence Harvey","Albert Paulsen, Angela Lansbury, Barry Kelley, Douglas Henderson, Henry Silva, James Edwards, James Gregory, Janet Leigh, John McGiver, Khigh Dhiegh, Leslie Parrish, Lloyd Corrigan, Madame Spivy"
Mr. Turner,Mike Leigh,"Amy Dawson, Dorothy Atkinson, Karl Johnson, Lesley Manville, Marion Bailey, Paul Jesson, Ruth Sheen, Sandy Foster, Timothy Spall","Alice Orr-Ewing, Amy Dawson, Billy Holland, Dorothy Atkinson, Fenella Woolgar, Fred Pearson, James Fleet, James Norton, Jamie Thomas King, John Duggan, John Warman, Joshua McGuire, Julian Seager, Karl Johnson, Katherine Denkinson, Lasco Atkins, Lee Ingleby, Leo Bill, Lesley Manville, Marion Bailey, Mark Stanley, Mark Wingett, Martin Savage, Niall Buggy, Oliver Maltman, Paul Jesson, Peter Wight, Richard Bremmer, Richard Dixon, Robert Portal, Roger Ashton-Griffiths, Ruby Bentall, Ruth Sheen, Sandy Foster, Sinead Matthews, Stuart Matthews, Sylvestra Le Touzel, Timothy Spall, Tom Edden, Tom Wlaschiha"
The Irishman,Martin Scorsese,"Al Pacino, Aleksa Palladino, Anna Paquin, Bobby Cannavale, Dascha Polanco, Harvey Keitel, Jack Huston, Jake Hoffman, Jesse Plemons, Joe Pesci, Kathrine Narducci, Ray Romano, Robert De Niro, Sebastian Maniscalco, Stephanie Kurtzuba, Stephen Graham, Steve Van Zandt","Aleksa Palladino, Aly Mang, Dascha Polanco, Domenick Lombardozzi, Gary Basaraba, Harvey Keitel, India Ennenga, Jack Huston, Jake Hoffman, Jesse Plemons, Joseph Russo, Kathrine Narducci, Paul Ben-Victor, Paul Herman, Ray Romano, Sebastian Maniscalco, Sharon Pfeiffer, Stephanie Kurtzuba, Steve Van Zandt"
Grave of the Fireflies (1988),Isao Takahata,"Akemi Yamaguchi, Ayano Shiraishi, Justin Doran, Luci Christian, Marcy Bannor, Shannon Conley, Shelley Calene-Black, Tadashi Nakamura, Tsutomu Tatsumi, Yoshiko Shinohara","Adam Gibbs, Amy Jones, Crispin Freeman, Dan Green, Susan O. Koozin"
The Wild Child,François Truffaut,"Annie Miller, Claude Miller, François Truffaut, Françoise Seigner, Jean Dasté, Jean Gruault, Jean-Pierre Cargol, Mathieu Schiffman, Nathan Miller, Paul Villé","Eva Truffaut, Gitt Magrini, Jean-François Stévenin, Laura Truffaut, Robert Cambourakis"
Amazing Grace,"Alan Elliott, Sydney Pollack","Alexander Hamilton, Aretha Franklin, Bernard Pretty Purdie, Bernard Purdie, C.L. Franklin, Charlie Watts, Chuck Rainey, Clara Ward, Mick Jagger, Reverand James Cleveland, Sydney Pollack",
Shadow of a Doubt,Alfred Hitchcock,"Charles Bates, Edna May Wonacott, Henry Travers, Hume Cronyn, Irving Bacon, Joseph Cotten, Macdonald Carey, Patricia Collinge, Teresa Wright, Wallace Ford","Bill Bates, Clarence Muse, Estelle Jewell, Janet Shaw, Virginia Brissac"
Inside Out,"Pete Docter, Ronaldo Del Carmen","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling, Phyllis Smith","Amy Poehler, Bill Hader, Bob Bergen, Bobby Moynihan, Carlos Alazraqui, Danny Mann, Dave Goelz, Diane Lane, Flea, Frank Oz, Jess Harnell, John Cygan, John Ratzenberger, Josh Cooley, Kaitlyn Dias, Kyle MacLachlan, Laraine Newman, Lewis Black, Lori Alan, Mindy Kaling, Paris Van Dyke, Paula Pell, Paula Poundstone, Phyllis Smith, Rashida Jones, Richard Kind, Sherry Lynn, Teresa Ganzel"
Sideways,Alexander Payne,"Paul Giamatti, Sandra Oh, Thomas Haden Church, Virginia Madsen","Alysia Reiner, Jessica Hecht, Joe Marinelli, M.C. Gainey, Marylouise Burke, Missy Doty, Patrick Gallagher, Robert Covarrubias, Shake Tukhmanyan, Shaun Duke, Stephanie Faracy"
Schindler's List,Steven Spielberg,"Liam Neeson, Ralph Fiennes","Andrzej Seweryn, Béatrice Macola, Ben Kingsley, Caroline Goodall, Embeth Davidtz, Friedrich von Thun, Harry Nehring, Jonathan Sagall, Krzysztof Luft, Malgoscha Gebel, Mark Ivanir, Norbert Weisser, Shmuel Levy"
Meet Me in St. Louis,Vincente Minnelli,"Harry Davenport, Henry H. Daniels Jr., Judy Garland, June Lockhart, Leon Ames, Lucille Bremer, Margaret O'Brien, Marjorie Main, Mary Astor, Tom Drake","Chill Wills, Hugh Marlowe, Joan Carroll, Robert Sully, Sidney Barnes"
The Apartment,Billy Wilder,"David Lewis, Fred MacMurray, Hope Holiday, Jack Kruschen, Jack Lemmon, Joan Shawlee, Johnny Seven, Naomi Stevens, Ray Walston, Shirley MacLaine","David White, Dorothy Abbott, Edie Adams, Joyce Jameson, Willard Waterman"
Apocalypse Now,Francis Ford Coppola,"Marlon Brando, Martin Sheen","Albert Hall, Bo Byers, Dennis Hopper, Frederic Forrest, G.D. Spradlin, Harrison Ford, James Keane, Jerry Ziesmer, Kerry Rossall, Laurence Fishburne, Robert Duvall, Sam Bottoms, Scott Glenn"
The Gunfighter,Henry King,"Anthony Ross, Ellen Corby, Gregory Peck, Helen Westcott, Jean Parker, Karl Malden, Millard Mitchell, Richard Jaeckel, Skip Homeier, Verna Felton","Beulah Archuletta, C.E. Anderson, Carl Andre, Murray Alper, Victor Adamson"
We Were Here,"Bill Weber, David Weissman",,"Bobbi Campbell, Cleve Jones, Daniel Goldstein, Ed Wolf, Eileen Glutzer, Guy Clark, Guy Clark, Paul Boneberg"
Lady Bird,Greta Gerwig,"Andy Buckley, Beanie Feldstein, Danielle Macdonald, Jake McDorman, Jordan Rodrigues, Kathryn Newton, Kristen Cloke, Laura Marano, Laurie Metcalf, Lois Smith, Lucas Hedges, Odeya Rush, Saoirse Ronan, Stephen Henderson, Timoth, Tracy Letts","Andy Buckley, Bayne Gibby, Beanie Feldstein, Christina Offley, Daniel Zovatto, Danielle Macdonald, Jake McDorman, John Karna, Jordan Rodrigues, Kathryn Newton, Kristen Cloke, Laura Marano, Lois Smith, Lucas Hedges, Marielle Scott, Stephen Henderson, Tracy Letts"
Chimes at Midnight,Orson Welles,"Andrés Mejuto, Jeanne Moreau, John Gielgud, Julio Peña, Margaret Rutherford, Marina Vlady, Michael Aldridge, Orson Welles, Tony Beckley, Walter Chiari","Alan Webb, Fernando Rey, Jeremy Rowe, Keith Baxter, Keith Pyott"
The Lord of the Rings: The Return of the King,Peter Jackson,"Andy Serkis, Orlando Bloom","Alexandra Astin, Alistair Browning, Bernard Hill, Billy Boyd, Cate Blanchett, David Aston, Ian McKellen, Jason Fitch, John Bach, Marton Csokas, Noel Appleby, Orlando Bloom, Richard Edge, Sadwyn Brophy, Sean Astin, Sean Bean"
Carlos,Olivier Assayas,,"Ahmad Kaabour, Alejandro Arroyo, Alexander Scheer, Aljoscha Stadelmann, Antoine Balabane, Christoph Bach, Édgar Ramírez, Fadi Abi Samra, Fadi Yanni Turk, Juana Acosta, Julia Hummer, Karam Ghossein, Lamia Ahmed, Liane Sellerer, Nora von Waldstätten, Philippe Tran, Rami Farah, Rodney El Haddad, Talal El-Jordi, Zeid Hamdan"
Marriage Story,Noah Baumbach,"Adam Driver, Alan Alda, Albert Jones, Ayden Mayeri, Azhy Robertson, Brooke Bloom, David Turner, Eric Berryman, Gideon Glick, Julia Greer, Julie Hagerty, Kyle Bornheimer, Laura Dern, Mark O'Brien, Mary Hollis Inboden, Matthew Maher, Merritt Wever, Mickey Sumner, Ray Liotta, Robert Smigel, Scarlett Johansson, Wallace Shawn","Albert Jones, Annie Hamilton, Ayden Mayeri, Azhy Robertson, Brooke Bloom, Jasmine Cephas Jones, Julie Hagerty, Kyle Bornheimer, Mark O'Brien, Martha Kelly, Mary Hollis Inboden, Mary Wiseman, Matthew Maher, Mickey Sumner, Motell Gyn Foster, Pete Simpson, Raymond J. Lee, Robert Smigel"
La La Land,Damien Chazelle,"Emma Stone, J.K. Simmons, Rosemarie DeWitt, Ryan Gosling","Amanda Fields, Amiée Conn, Ana Flavia Gavlak, Andres Perez-Molina, Ashley Caple, Callie Hernandez, Cameron Brinkman, Candice Coke, Christopher Aber, Cinda Adams, Claudine Claudio, D.A. Wallach, Emma Stone, Finn Wittrock, Hemky Madera, J.K. Simmons, Jason Fuchs, Jessica Rothe, John Legend, Jordan Ray Fox, Josh Pence, Kaye L. Morris, Kc Monnie, Kiff VandenHeuvel, Kristin Slaysman, Margaret Newborn, Meagen Fay, Miles Anderson, Morgan Larson, Nilla Watkins, Phillip E. Walker, Rosemarie DeWitt, Ryan Gosling, Sandra Rosko, Shannon Klein, Shannon Leann, Sonoya Mizuno, Terry Walters, Thom Shelton, Tom Everett Scott, Trevor Lissauer, Zoë Hall"
Faces Places,"Agnès Varda, JR","Agnès Varda, Amaury Bossy, Claude Ferchal, Claude Flaert, J.R., Jean-Luc Godard, Jean-Paul Beaujon, Jeannine Carpentier, JR, Laurent Levesque, Marie Douvet, Vincent Gils, Yves Boulen","Clemens Van Dungern, Laurent Levesque, Morgane Riou, Nathalie Maurouard, Nathalie Schleehauf, Patricia Mercier, Pony-Soleil-Air-Sauvage-Nature"
"Crouching Tiger, Hidden Dragon",Ang Lee,"Michelle Yeoh, Yun-Fat Chow, Ziyi Zhang","Chen Chang, De Ming Wang, Fa Zeng Li, Jin Ting Zhang, Kai Li, Li Li, Pei-pei Cheng, Rei Yang, Sihung Lung, Su Ying Huang, Xian Gao, Yan Hai"
Nomadland,Chloé Zhao,"Angela Reyes, Bob Wells, Carl R. Hughes, David Strathairn, Douglas G. Soul, Frances McDormand, Gay DeForest, Karie Lynn McDermott Wilder, Linda May, Patricia Grier, Ryan Aquino, Swankie, Teresa Buchanan","Annette Webb, Annette Wells, Bob Wells, Brandy Wilber, Karie Lynn McDermott Wilder, Makenzie Etcheverry, Rachel Bannon"
The Servant,Joseph Losey,"Dirk Bogarde, James Fox, Sarah Miles, Wendy Craig","Alun Owen, Ann Firbank, Brian Phelan, Catherine Lacey, Derek Tansley, Doris Knox, Harold Pinter, Hazel Terry, Jill Melford, Patrick Magee, Richard Vernon"
Call Me by Your Name,Luca Guadagnino,"Amira Casar, Antonio Rimoldi, Armie Hammer, Elena Bucci, Esther Garrel, Marco Sgrosso, Michael Stuhlbarg, Timoth, Vanda Capriolo, Victoire Du Bois","Amira Casar, Andre Aciman, Antonio Rimoldi, Armie Hammer, Elena Bucci, Esther Garrel, Marco Sgrosso, Michael Stuhlbarg, Peter Spears, Timoth, Vanda Capriolo, Victoire Du Bois, Xhuliano Ujka"
The Magnificent Ambersons,"Fred Fleck, Orson Welles, Robert Wise","Agnes Moorehead, Anne Baxter, Dolores Costello, Edwin August, Erskine Sanford, Joseph Cotten, Orson Welles, Ray Collins, Richard Bennett, Tim Holt","Georgia Backus, Harry A. Bailey, Jack Baxley, Olive Ball, William Blees"
Reversal of Fortune,Barbet Schroeder,"Glenn Close, Jeremy Irons","Alan Pottinger, Annabella Sciorra, Christine Baranski, Christine Dunford, Felicity Huffman, Fisher Stevens, Jack Gilpin, Johann Carlo, Keith Reddin, Mano Singh, Ron Silver, Stephen Mailer, Uta Hagen"
David Byrne’s American Utopia,Spike Lee,David Byrne,
Shoplifters,Hirokazu Koreeda,"Akira Emoto, Chizuru Ikewaki, Daisuke Kuroda, Jyo Kairi, Kazuaki Shimizu, Kengo Kôra, Kirin Kiki, Lily Franky, Mayu Matsuoka, Miyu Sasaki, Moemi Katayama, Sakura Andô, Sôsuke Ikematsu, Yôko Moriguchi, Yûki Yamada","Aju Makita, Akira Emoto, Chizuru Ikewaki, Hajime Inoue, Izumi Matsuoka, Jyo Kairi, Katsuya Maiguma, Kazuaki Shimizu, Kengo Kôra, Miyu Sasaki, Naoto Ogata, Yôko Moriguchi, Yûki Yamada"
Shoah: Four Sisters,Claude Lanzmann,"Ada Lichtman, Claude Lanzmann, Hanna Marton, Paula Biren, Ruth Elias",
The 39 Steps,Alfred Hitchcock,"Frank Cellier, Godfrey Tearle, Gus McNaughton, Helen Haye, John Laurie, Lucie Mannheim, Madeleine Carroll, Peggy Ashcroft, Robert Donat, Wylie Watson","Charles Bennett, Ivor Barnard, Jerry Verno, Noel Birkin, Peggy Simpson"
Duck Soup,Leo McCarey,"Chico Marx, Edmund Breese, Groucho Marx, Harpo Marx, Leonid Kinskey, Louis Calhern, Margaret Dumont, Raquel Torres, The Marx Brothers, Zeppo Marx","Charles Middleton, Edgar Kennedy, Edward Arnold, Sidney Bracey, Wade Boteler"
Petite Maman,Céline Sciamma,"Florès Cardo, Gabrielle Sanz, Guylène Péan, Josée Schuller, Joséphine Sanz, Margot Abascal, Nina Meurisse, Stéphane Varupenne",
Days of Heaven,Terrence Malick,"Brooke Adams, Richard Gere","Bob Wilson, Doug Kershaw, Frenchie Lemond, Gene Bell, Jackie Shultis, Linda Manz, Muriel Jolliffe, Richard Libertini, Robert J. Wilke, Sahbra Markus, Sam Shepard, Stuart Margolin, Timothy Scott"
Toni Erdmann,Maren Ade,"Peter Simonischek, Sandra Hüller","Alexandru Papadopol, Anna Maria Bergold, Hadewych Minis, Ingrid Bisu, Ingrid Burkhard, Ioan Brancu, Jürg Löw, Lucy Russell, Manuela Ciucur, Michael Wittenborn, Nicolas Wackerbarth, Niels Bormann, Peter Simonischek, Radu Banzaru, Ruth Reinecke, Sandra Hüller, Thomas Loibl, Trystan Pütter, Victoria Cocias, Victoria Malektorovych, Vlad Ivanov"
Yi Yi,Edward Yang,Nien-Jen Wu,"Adriene Lin, An-an Hsu, Chuan-cheng Tao, Elaine Jin, Hsi-Sheng Chen, Hsin-Yi Tseng, Issei Ogata, Jonathan Chang, Kelly Lee, Pang Chang Yu, Ru-Yun Tang, Shu-shen Hsiao, Shu-Yuan Hsu, Su-Yun Ko, Yiwen Chen, Yung-Feng Lee"
McCabe & Mrs. Miller,Robert Altman,"Bert Remsen, Corey Fischer, John Schuck, Julie Christie, Keith Carradine, Michael Murphy, René Auberjonois, Shelley Duvall, Warren Beatty, William Devane","Antony Holland, Hugh Millais, Jace Van Der Veen, Jackie Crossland, Manfred Schulz"
The Best Years of Our Lives,William Wyler,"Cathy O'Donnell, Dana Andrews, Fredric March, Gladys George, Harold Russell, Hoagy Carmichael, Myrna Loy, Roman Bohnen, Teresa Wright, Virginia Mayo","Dorothy Adams, Minna Gombell, Ray Collins, Steve Cochran, Walter Baldwin"
Stagecoach,John Ford,"Andy Devine, Berton Churchill, Claire Trevor, Donald Meek, George Bancroft, John Carradine, John Wayne, Louise Platt, Thomas Mitchell, Tim Holt","Chief John Big Tree, Dorothy Appleby, Frank Baker, Ted Billings, Tom Tyler"
Inside Llewyn Davis,"Ethan Coen, Joel Coen","Carey Mulligan, Garrett Hedlund, John Goodman, Justin Timberlake, Oscar Isaac","Adam Driver, Alex Karpovsky, Antonio E. Moreno, Bradley Mott, Carey Mulligan, Ethan Phillips, F. Murray Abraham, Frank Ridley, Garrett Hedlund, Genevieve Adams, Helen Hong, Jake Ryan, James Colby, Jeanine Serralles, Jerry Grayson, Joel Brody, John Goodman, Justin Timberlake, Max Casella, Mike Houston, Oscar Isaac, Ricardo Cordero, Robin Bartlett, Stark Sands"
Sherpa,Jennifer Peedom,,
There Will Be Blood,Paul Thomas Anderson,Daniel Day-Lewis,"Barry Del Sherman, Coco Leigh, Dillon Freasier, Erica Sullivan, Harrison Taylor, Jacob Stringer, Jim Meskimen, Joseph Mussey, Kevin Breznahan, Martin Stringer, Matthew Braden Stringer, Paul F. Tompkins, Randall Carver, Stockton Taylor"
Badlands,Terrence Malick,"Martin Sheen, Sissy Spacek","Alan Vint, Ben Bravo, Bryan Montgomery, Charles Fitzpatrick, Dona Baldwin, Emilio Estevez, Gail Threlkeld, Gary Littlejohn, Howard Ragsdale, John Carter, John Womack Jr., Ramon Bieri, Warren Oates"
The Last Picture Show,Peter Bogdanovich,"Ben Johnson, Cloris Leachman, Clu Gulager, Cybill Shepherd, Eileen Brennan, Ellen Burstyn, Jeff Bridges, Sam Bottoms, Sharon Ullrick, Timothy Bottoms","Barc Doyle, Bill Thurman, Jessie Lee Fulton, Joe Heathcock, Randy Quaid"
Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee","Bill Nunn, Frankie Faison, Giancarlo Esposito, John Savage, John Turturro, Joie Lee, Miguel Sandoval, Paul Benjamin, Richard Edson, Rick Aiello, Robin Harris, Spike Lee"
Sita Sings the Blues,Nina Paley,,"Aladdin Ullah, Annette Hanshaw, Aseem Chhabra, Bhavana Nagulapally, Debargo Sanyal, Deepti Gupta, Manish Acharya, Nina Paley, Nitya Vidyasagar, Pooja Kumar, Reena Shah, Sanjiv Jhaveri"
The Decline of Western Civilization,Penelope Spheeris,"Alice Bag, Alice Bag Band, Black Flag, Circle Jerks, Claude Bessy, Darby Crash, Dinah Cancer, Don Bolles, Exene Cervenka, Philo Cramer","Bill Gazzarri, Fear, Frank Gargani, John Doe, Lorna Doom"
Rio Bravo,Howard Hawks,"Angie Dickinson, Claude Akins, Dean Martin, Estelita Rodriguez, John Russell, John Wayne, Pedro Gonzalez Gonzalez, Ricky Nelson, Walter Brennan, Ward Bond","Frank Balderrama, Fred Aldrich, Harry Carey Jr., Malcolm Atterbury, Sheb Wooley"
Brother's Keeper,"Bruce Sinofsky, Joe Berlinger","Dave Goff, Delbert Ward, Harry Thurston, John Teeple, Joseph F. Loszynski, Ken Elmer, Lyman Ward, Ralph A. Cognetti, Roscoe Ward, Walt Geisler","Connie Chung, Donald F. Cerio, John W. Graham, Maynard A. Cosnett, Robert J. Killough"
Crumb,Terry Zwigoff,Robert Crumb,"Aline Kominsky, Beatrice Crumb, Bill Griffith, Charles Crumb, Dana Morgan, Deirdre English, Don Donahue, Kathy Goodell, Martin Müller, Maxon Crumb, Peggy Orenstein, Robert Hughes, Spain Rodriguez, Trina Robbins"
Spotlight,Thomas McCarthy,"John Slattery, Liev Schreiber, Mark Ruffalo, Michael Keaton, Rachel McAdams, Stanley Tucci","Billy Crudup, Brian d'Arcy James, Christopher Gallagher, Dallas Peplow, Doug Murray, Duane Murray, Elena Juatco, Elena Wohl, Faith Fay, Gary Galone, Gene Amoroso, Jamey Sheridan, John Slattery, Lana Antonova, Len Cariou, Liev Schreiber, London Hall, Mark Ruffalo, Michael Cyril Creighton, Michael Keaton, Neal Huff, Paul Guilfoyle, Rachel McAdams, Rob deLeeuw, Robert B. Kennedy, Sharon McFarlane, Shawn Contois, Stanley Tucci, Stefanie Drummond, Zarrin Darnell-Martin"
The Band Wagon,Vincente Minnelli,"Cyd Charisse, Fred Aldrich, Fred Astaire, India Adams, Jack Buchanan, James Mitchell, Nanette Fabray, Oscar Levant, Richard Alexander, Robert Gist","Barbara Bailey, Brandon Beach, Ernest Anderson, Lysa Baugher, Patsy Bangs"
One More Time with Feeling,Andrew Dominik,,"Nick Cave, Nick Cave & the Bad Seeds, Nick Cave & The Bad Seeds, Warren Ellis"
The Diving Bell and the Butterfly,Julian Schnabel,"Emmanuelle Seigner, Marie-Josée Croze, Mathieu Amalric","Anne Consigny, Fiorella Campanella, Gérard Watkins, Isaach De Bankolé, Jean-Pierre Cassel, Marina Hands, Max von Sydow, Niels Arestrup, Olatz López Garmendia, Patrick Chesnais, Talina Boyaci, Théo Sampaio"
Invasion of the Body Snatchers,Don Siegel,"Carolyn Jones, Dana Wynter, Jean Willes, Kenneth Patterson, Kevin McCarthy, King Donovan, Larry Gates, Ralph Dumke, Tom Fadden, Virginia Christine","Beatrice Maude, Bobby Clark, Eileen Stevens, Guy Way, Jean Andren"
The Class,Laurent Cantet,François Bégaudeau,"Agame Malembo-Emene, Angélica Sancio, Arthur Fogel, Boubacar Toure, Burak Özyilmaz, Carl Nanor, Cherif Bounaïdja Rachedi, Dalla Doucoure, Damien Gomes, Esmeralda Ouertani, Eva Paradiso, Henriette Kasaruhanda, Juliette Demaille, Justine Wu"
Platoon,Oliver Stone,"Tom Berenger, Willem Dafoe","Bob Orwig, Chris Pedersen, Corey Glover, Corkey Ford, David Neidorf, Forest Whitaker, Francesco Quinn, John C. McGinley, Johnny Depp, Keith David, Kevin Dillon, Mark Moses, Reggie Johnson"
35 Shots of Rum,Claire Denis,,"Adèle Ado, Alex Descas, Cheikh Toure, David Saada, Djédjé Apali, Eriq Ebouaney, Grégoire Colin, Ingrid Caven, Jean-Christophe Folly, Julieth Mars Toussaint, Mario Canonge, Mary Pie, Mati Diop, Nicole Dogue, Stéphane Pocrain"
Apocalypse Now: Final Cut,Francis Ford Coppola,,
Chinatown,Roman Polanski,"Faye Dunaway, Jack Nicholson, John Huston","Bruce Glover, Darrell Zwerling, Diane Ladd, James Hong, James O'Rear, Joe Mantell, John Hillerman, Nandu Hinds, Perry Lopez, Richard Bakalyan, Roman Polanski, Roy Jenson"
The Florida Project,Sean Baker,"Aiden Malik, Bria Vinaite, Brooklynn Prince, Caleb Landry Jones, Christopher Rivera, Edward Pagan, Jasineia Ramos, Jason Blackwater, Josie Olivo, Karren Karagulian, Macon Blair, Patti Wiley, Sandy Kane, Valeria Cotto, Willem Dafoe","Bria Vinaite, Bronwyn Valley, Brooklynn Prince, Caleb Landry Jones, Carl Bradfield, Christopher Rivera, Gary B. Gross, Jason Blackwater, Jim Coleman, Jim R. Coleman, Karren Karagulian, Kelly Fitzgerald, Krystal Nicole Watts, Macon Blair, Mela Murder, Rosa Medina Perez, Sabina Friedman-Seitz, Sandy Kane, Valeria Cotto, Willem Dafoe"
Timbuktu,Abderrahmane Sissako,"Abel Jafri, Ibrahim Ahmed, Layla Walet Mohamed, Mehdi A.G. Mohamed, Toulou Kiki","Abel Jafri, Adel Mahmoud Cherif, Cheik A.G. Emakni, Fatoumata Diawara, Hichem Yacoubi, Ibrahim Ahmed, Kettly Noël, Layla Walet Mohamed, Mamby Kamissoko, Mehdi A.G. Mohamed, Pino Desperado, Salem Dendou, Toulou Kiki, Weli Cleib, Yoro Diakité, Zikra Oualet Moussa"
Frenzy,Alfred Hitchcock,"Alec McCowen, Anna Massey, Barbara Leigh-Hunt, Barry Foster, Bernard Cribbins, Billie Whitelaw, Clive Swift, Jon Finch, Michael Bates, Vivien Merchant","Elsie Randolph, Gerald Sim, Jean Marsh, John Boxer, Madge Ryan"
Brief Encounter,David Lean,"Alfie Bass, Celia Johnson, Cyril Raymond, Everley Gregg, Joyce Carey, Margaret Barton, Marjorie Mars, Stanley Holloway, Trevor Howard, Wilfred Babbage","Noel Coward, Nuna Davey, Sydney Bromley, Valentine Dyall, Wallace Bosco"
Cool Hand Luke,Stuart Rosenberg,"Clifton James, George Kennedy, J.D. Cannon, Jo Van Fleet, Lou Antonio, Luke Askew, Morgan Woodward, Paul Newman, Robert Drivas, Strother Martin","Dennis Hopper, Marc Cavell, Richard Davalos, Robert Donner, Warren Finnerty"
Little Women,George Cukor,"Douglass Montgomery, Edna May Oliver, Frances Dee, Henry Stephenson, Jean Parker, Joan Bennett, John Lodge, Katharine Hepburn, Paul Lukas, Spring Byington","Harry Beresford, Mabel Colcord, Marion Ballou, Nydia Westman, Samuel S. Hinds"
Maborosi,Hirokazu Koreeda,,"Akira Emoto, Gohki Kashiyama, Hidekazu Akai, Hiromi Ichida, Kikuko Hashimoto, Makiko Esumi, Midori Kiuchi, Minori Terada, Mutsuko Sakura, Naomi Watanabe, Ren Ôsugi, Shuichi Harada, Tadanobu Asano, Takashi Inoue, Takashi Naitô"
Top Hat,Mark Sandrich,"Edward Everett Horton, Eric Blore, Erik Rhodes, Fred Astaire, Ginger Rogers, Helen Broderick, Lucille Ball, Robert Adair, Tito Blasco, Tom Brandon","Gino Corrado, Lorinne Crawford, Phyllis Coghlan, Roy Brent, Tom Costello"
Apocalypse Now Redux,Francis Ford Coppola,"Marlon Brando, Martin Sheen","Albert Hall, Bo Byers, Dennis Hopper, Frederic Forrest, G.D. Spradlin, Harrison Ford, James Keane, Jerry Ziesmer, Kerry Rossall, Laurence Fishburne, Robert Duvall, Sam Bottoms, Scott Glenn"
Annie Hall,Woody Allen,"Diane Keaton, Woody Allen","Carol Kane, Christopher Walken, Colleen Dewhurst, Donald Symington, Helen Ludlam, Janet Margolin, Joan Neuman, Jonathan Munk, Mordecai Lawner, Paul Simon, Ruth Volner, Shelley Duvall, Tony Roberts"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"Andy Serkis, Elijah Wood","Alan Howard, Billy Boyd, Cate Blanchett, Christopher Lee, Ian Holm, Ian McKellen, Lawrence Makoare, Mark Ferguson, Marton Csokas, Megan Edwards, Michael Elsworth, Noel Appleby, Orlando Bloom, Sala Baker, Sean Astin, Sean Bean"
Quiz Show,Robert Redford,"John Turturro, Ralph Fiennes","Allan Rich, Christopher McDonald, David Paymer, Elizabeth Wilson, George Martin, Griffin Dunne, Hank Azaria, Johann Carlo, Michael Mantell, Mira Sorvino, Paul Guilfoyle, Paul Scofield, Rob Morrow"
Leviathan,Andrei Zvyagintsev,"Aleksey Serebryakov, Roman Madyanov, Vladimir Vdovichenkov, Yelena Lyadova","Aleksey Pavlov, Aleksey Rozin, Aleksey Serebryakov, Alim Bidnenko, Alla Emintseva, Andrey Belozerov, Anna Ukolova, Dmitriy Bykovskiy-Romashov, Elena Lyadova, Evgeniy Yakunin, Igor Litovkin, Igor Savochkin, Igor Sergeev, Irina Graba, Irina Ryndina, Irina Vilkova, Kristina Pakarina, Lesya Kudryashova, Natasha Garustovich, Olga Lapshina, Platon Kamenev, Roman Madyanov, Sergei Borisov, Sergey Bachurskiy, Sergey Pokhodaev, Valeriy Grishko, Vladimir Lupanov, Vladimir Vdovichenkov, Vyacheslav Gonchar, Yelena Lyadova"
Werckmeister Harmonies,"Ágnes Hranitzky, Béla Tarr","Lars Rudolph, Peter Fitz","Alfréd Járai, Djoko Rosic, Enikö Börcsök, Éva Almássy Albert, Ferenc Kállai, György Barkó, Hanna Schygulla, Irén Szajki, János Derzsi, Lajos Dobák, Mihály Kormos, Putyi Horváth, Tamás Wichmann"
Toy Story 3,Lee Unkrich,"Tim Allen, Tom Hanks","Blake Clark, Don Rickles, Emily Hahn, Estelle Harris, Joan Cusack, Jodi Benson, John Morris, John Ratzenberger, Laurie Metcalf, Michael Keaton, Ned Beatty, Teddy Newton, Wallace Shawn"
